Iterative Workload,Reinforcement Learning
broadcast_0,0,1430866171065
broadcast_0,1,1430866171067
broadcast_0_piece0,0,1430866171094
broadcast_0_piece0,1,1430866171095
broadcast_1,0,1430866171173
broadcast_1,1,1430866171174
broadcast_1_piece0,0,1430866171181
broadcast_1_piece0,1,1430866171182
broadcast_2,0,1430866171200
broadcast_2,1,1430866171201
broadcast_2_piece0,0,1430866171206
broadcast_2_piece0,1,1430866171208
broadcast_3,0,1430866171226
broadcast_3,1,1430866171228
broadcast_3_piece0,0,1430866171236
broadcast_3_piece0,1,1430866171237
broadcast_4,0,1430866171259
broadcast_4,1,1430866171261
broadcast_4_piece0,0,1430866171268
broadcast_4_piece0,1,1430866171269
broadcast_5,0,1430866171289
broadcast_5,1,1430866171292
broadcast_5_piece0,0,1430866171302
broadcast_5_piece0,1,1430866171303
broadcast_6,0,1430866171329
broadcast_6,1,1430866171331
broadcast_6_piece0,0,1430866171337
broadcast_6_piece0,1,1430866171338
broadcast_7,0,1430866171357
broadcast_7,1,1430866171358
broadcast_7_piece0,0,1430866171364
broadcast_7_piece0,1,1430866171365
broadcast_8,0,1430866171381
broadcast_8,1,1430866171382
broadcast_8_piece0,0,1430866171391
broadcast_8_piece0,1,1430866171393
broadcast_9,0,1430866171413
broadcast_9,1,1430866171413
broadcast_9,1,1430866171547
broadcast_9_piece0,0,1430866171418
broadcast_9_piece0,1,1430866171419
broadcast_10,0,1430866171433
broadcast_10,1,1430866171434
broadcast_10,1,1430866171549
broadcast_10_piece0,0,1430866171439
broadcast_10_piece0,1,1430866171440
broadcast_0,1,1430866171454
broadcast_1,1,1430866171525
broadcast_2,1,1430866171530
broadcast_3,1,1430866171532
broadcast_4,1,1430866171535
broadcast_5,1,1430866171536
broadcast_6,1,1430866171539
broadcast_7,1,1430866171542
broadcast_8,1,1430866171545
broadcast_11,0,1430866171744
broadcast_11,1,1430866171745
broadcast_11_piece0,0,1430866171747
broadcast_11_piece0,1,1430866171748
broadcast_11,1,1430866172456
broadcast_11,1,1430866173250
broadcast_0,1,1430866172474
broadcast_0,1,1430866173266
rdd_31_0,0,1430866173206
rdd_31_0,1,1430866173206
rdd_31_1,0,1430866173546
rdd_31_1,1,1430866173546
broadcast_11,1,1430866173554
broadcast_11,1,1430866173976
broadcast_11,1,1430866174168
broadcast_11,1,1430866174352
broadcast_0,1,1430866173561
broadcast_0,1,1430866173983
broadcast_0,1,1430866174174
broadcast_0,1,1430866174357
rdd_31_2,0,1430866173968
rdd_31_2,1,1430866173968
rdd_31_3,0,1430866174161
rdd_31_3,1,1430866174161
rdd_31_4,0,1430866174344
rdd_31_4,1,1430866174345
rdd_31_5,0,1430866174753
rdd_31_5,1,1430866174754
broadcast_11,1,1430866174760
broadcast_11,1,1430866174942
broadcast_11,1,1430866175148
broadcast_0,1,1430866174765
broadcast_0,1,1430866174949
broadcast_0,1,1430866175158
rdd_31_6,0,1430866174936
rdd_31_6,1,1430866174936
rdd_31_7,0,1430866175135
rdd_31_7,1,1430866175136
rdd_31_8,0,1430866175479
rdd_31_8,1,1430866175480
broadcast_11,1,1430866175487
broadcast_11,1,1430866175668
broadcast_11,1,1430866175835
broadcast_11,1,1430866176077
broadcast_11,1,1430866176230
broadcast_11,1,1430866176376
broadcast_0,1,1430866175494
broadcast_0,1,1430866175672
broadcast_0,1,1430866175839
rdd_31_9,0,1430866175661
rdd_31_9,1,1430866175662
rdd_31_10,0,1430866175829
rdd_31_10,1,1430866175829
rdd_31_11,0,1430866176071
rdd_31_11,1,1430866176072
broadcast_1,1,1430866176081
broadcast_1,1,1430866176234
broadcast_1,1,1430866176380
rdd_31_12,0,1430866176224
rdd_31_12,1,1430866176224
rdd_31_13,0,1430866176371
rdd_31_13,1,1430866176371
broadcast_11,1,1430866176729
broadcast_11,1,1430866176962
broadcast_11,1,1430866177234
broadcast_11,1,1430866177399
broadcast_1,1,1430866176733
broadcast_1,1,1430866176969
broadcast_1,1,1430866177236
broadcast_1,1,1430866177403
broadcast_11,1,1430866177621
broadcast_1,1,1430866177623
broadcast_11,1,1430866178950
broadcast_11,1,1430866179193
broadcast_11,1,1430866179380
broadcast_11,1,1430866179537
broadcast_11,1,1430866179616
broadcast_11,1,1430866179798
broadcast_1,1,1430866178953
broadcast_1,1,1430866179195
broadcast_1,1,1430866179383
broadcast_1,1,1430866179539
rdd_31_23,0,1430866179609
rdd_31_23,1,1430866179609
broadcast_2,1,1430866179618
broadcast_2,1,1430866179806
broadcast_11,1,1430866179958
broadcast_11,1,1430866180155
broadcast_11,1,1430866180392
broadcast_11,1,1430866180626
broadcast_11,1,1430866180790
broadcast_2,1,1430866179961
broadcast_2,1,1430866180159
broadcast_2,1,1430866180397
broadcast_2,1,1430866180632
broadcast_2,1,1430866180792
broadcast_11,1,1430866180957
broadcast_11,1,1430866181116
broadcast_11,1,1430866181337
broadcast_11,1,1430866181531
broadcast_11,1,1430866181687
broadcast_11,1,1430866181765
broadcast_2,1,1430866180959
broadcast_2,1,1430866181119
broadcast_2,1,1430866181339
broadcast_2,1,1430866181533
broadcast_2,1,1430866181689
rdd_31_35,0,1430866181758
rdd_31_35,1,1430866181758
broadcast_3,1,1430866181766
broadcast_11,1,1430866182001
broadcast_11,1,1430866182192
broadcast_11,1,1430866182360
broadcast_11,1,1430866182537
broadcast_11,1,1430866182724
broadcast_3,1,1430866182004
broadcast_3,1,1430866182194
broadcast_3,1,1430866182365
broadcast_3,1,1430866182540
broadcast_3,1,1430866182726
broadcast_11,1,1430866182883
broadcast_11,1,1430866183042
broadcast_11,1,1430866183236
broadcast_11,1,1430866183395
broadcast_11,1,1430866183553
broadcast_11,1,1430866183726
broadcast_11,1,1430866183814
broadcast_3,1,1430866182887
broadcast_3,1,1430866183045
broadcast_3,1,1430866183238
broadcast_3,1,1430866183398
broadcast_3,1,1430866183554
broadcast_3,1,1430866183734
broadcast_4,1,1430866183818
broadcast_11,1,1430866183967
broadcast_11,1,1430866184135
broadcast_11,1,1430866184338
broadcast_11,1,1430866184517
broadcast_11,1,1430866184672
broadcast_11,1,1430866184841
broadcast_4,1,1430866183969
broadcast_4,1,1430866184136
broadcast_4,1,1430866184341
broadcast_4,1,1430866184519
broadcast_4,1,1430866184674
broadcast_4,1,1430866184843
broadcast_11,1,1430866184999
broadcast_11,1,1430866185169
broadcast_11,1,1430866185357
broadcast_11,1,1430866185511
broadcast_11,1,1430866185676
broadcast_11,1,1430866185769
broadcast_4,1,1430866185001
broadcast_4,1,1430866185171
broadcast_4,1,1430866185361
broadcast_4,1,1430866185519
broadcast_4,1,1430866185678
broadcast_5,1,1430866185772
broadcast_11,1,1430866185997
broadcast_11,1,1430866186209
broadcast_11,1,1430866186425
broadcast_11,1,1430866186678
broadcast_5,1,1430866186000
broadcast_5,1,1430866186211
broadcast_5,1,1430866186426
broadcast_5,1,1430866186680
broadcast_11,1,1430866186926
broadcast_11,1,1430866187190
broadcast_11,1,1430866187451
broadcast_11,1,1430866187768
broadcast_5,1,1430866186928
broadcast_5,1,1430866187200
broadcast_5,1,1430866187508
broadcast_5,1,1430866187771
broadcast_11,1,1430866187982
broadcast_11,1,1430866188225
broadcast_11,1,1430866188396
broadcast_11,1,1430866188477
broadcast_11,1,1430866188689
broadcast_5,1,1430866187986
broadcast_5,1,1430866188227
broadcast_5,1,1430866188399
broadcast_6,1,1430866188479
broadcast_6,1,1430866188699
broadcast_11,1,1430866188914
broadcast_11,1,1430866189105
broadcast_11,1,1430866189282
broadcast_11,1,1430866189519
broadcast_11,1,1430866189728
broadcast_6,1,1430866188919
broadcast_6,1,1430866189107
broadcast_6,1,1430866189283
broadcast_6,1,1430866189522
broadcast_6,1,1430866189736
broadcast_11,1,1430866189973
broadcast_11,1,1430866190201
broadcast_11,1,1430866190378
broadcast_11,1,1430866190578
broadcast_11,1,1430866190819
broadcast_6,1,1430866189974
broadcast_6,1,1430866190204
broadcast_6,1,1430866190380
broadcast_6,1,1430866190581
broadcast_6,1,1430866190820
broadcast_11,1,1430866190931
broadcast_11,1,1430866191122
broadcast_11,1,1430866191295
broadcast_11,1,1430866191527
broadcast_11,1,1430866191740
broadcast_7,1,1430866190933
broadcast_7,1,1430866191124
broadcast_7,1,1430866191298
broadcast_7,1,1430866191528
broadcast_7,1,1430866191742
broadcast_11,1,1430866191963
broadcast_11,1,1430866192131
broadcast_11,1,1430866192300
broadcast_11,1,1430866192525
broadcast_11,1,1430866192705
broadcast_7,1,1430866191964
broadcast_7,1,1430866192133
broadcast_7,1,1430866192304
broadcast_7,1,1430866192527
broadcast_7,1,1430866192707
broadcast_11,1,1430866192923
broadcast_11,1,1430866193087
broadcast_11,1,1430866193161
broadcast_11,1,1430866193325
broadcast_11,1,1430866193555
broadcast_11,1,1430866193719
broadcast_11,1,1430866193877
broadcast_7,1,1430866192925
broadcast_7,1,1430866193089
broadcast_8,1,1430866193163
broadcast_8,1,1430866193326
broadcast_8,1,1430866193557
broadcast_8,1,1430866193721
broadcast_8,1,1430866193878
broadcast_11,1,1430866194042
broadcast_11,1,1430866194217
broadcast_11,1,1430866194380
broadcast_11,1,1430866194548
broadcast_11,1,1430866194706
broadcast_11,1,1430866194872
broadcast_8,1,1430866194043
broadcast_8,1,1430866194218
broadcast_8,1,1430866194381
broadcast_8,1,1430866194549
broadcast_8,1,1430866194708
broadcast_8,1,1430866194874
broadcast_11,1,1430866195038
broadcast_11,1,1430866195108
broadcast_11,1,1430866195262
broadcast_11,1,1430866195407
broadcast_11,1,1430866195560
broadcast_11,1,1430866195707
broadcast_11,1,1430866195862
broadcast_8,1,1430866195040
broadcast_9,1,1430866195110
broadcast_9,1,1430866195264
broadcast_9,1,1430866195409
broadcast_9,1,1430866195562
broadcast_9,1,1430866195709
broadcast_9,1,1430866195864
broadcast_11,1,1430866196021
broadcast_11,1,1430866196172
broadcast_11,1,1430866196336
broadcast_11,1,1430866196489
broadcast_11,1,1430866196650
broadcast_11,1,1430866196815
broadcast_11,1,1430866196902
broadcast_9,1,1430866196022
broadcast_9,1,1430866196173
broadcast_9,1,1430866196338
broadcast_9,1,1430866196490
broadcast_9,1,1430866196652
broadcast_9,1,1430866196817
broadcast_10,1,1430866196903
broadcast_11,1,1430866197081
broadcast_11,1,1430866197281
broadcast_11,1,1430866197470
broadcast_11,1,1430866197630
broadcast_11,1,1430866197777
broadcast_10,1,1430866197082
broadcast_10,1,1430866197282
broadcast_10,1,1430866197471
broadcast_10,1,1430866197631
broadcast_10,1,1430866197778
broadcast_11,1,1430866197934
broadcast_11,1,1430866198083
broadcast_11,1,1430866198229
broadcast_11,1,1430866198383
broadcast_11,1,1430866198533
broadcast_11,1,1430866198725
broadcast_10,1,1430866197935
broadcast_10,1,1430866198084
broadcast_10,1,1430866198230
broadcast_10,1,1430866198385
broadcast_10,1,1430866198535
broadcast_10,1,1430866198727
broadcast_12,0,1430866198833
broadcast_12,1,1430866198834
broadcast_12_piece0,0,1430866198839
broadcast_12_piece0,1,1430866198840
broadcast_13,0,1430866198845
broadcast_13,1,1430866198845
broadcast_13_piece0,0,1430866198849
broadcast_13_piece0,1,1430866198850
broadcast_14,0,1430866198866
broadcast_14,1,1430866198867
broadcast_14_piece0,0,1430866198872
broadcast_14_piece0,1,1430866198872
broadcast_15,0,1430866198879
broadcast_15,1,1430866198879
broadcast_15_piece0,0,1430866198882
broadcast_15_piece0,1,1430866198882
